Time, radar measured  rho, radar measured phi, radar measured rho_dot 
0,10.609,2.76078,-4.53582
0,25.1137,-0.154389,-5.82779
0,11.9599,-3.13607,-0.904339
33333,10.6553,2.78288,-4.34264
33333,25.1168,-0.127559,-5.64478
33333,12.127,-3.10796,-0.722559
66666,10.7712,2.74939,-4.17317
66666,25.1892,-0.156172,-5.48596
66666,12.3635,-3.13528,-0.564996
100000,10.1504,2.7397,-4.6726
100000,24.5244,-0.160806,-5.99656
100000,11.8627,-3.13859,-1.07688
133333,9.96248,2.73749,-4.69213
133333,24.2921,-0.157798,-6.02779
133333,11.7944,-3.13424,-1.10943
166666,9.45642,2.71231,-4.44335
166666,23.7414,-0.17757,-5.79131
166666,11.4076,3.13053,-0.874296
200000,9.69796,2.68302,-4.04275
200000,23.9377,-0.201264,-5.40361
200000,11.7678,3.10822,-0.487982
233333,9.59903,2.72999,-4.38784
233333,23.7932,-0.1485,-5.76226
233333,11.7872,-3.12079,-0.848045
266666,10.0345,2.6715,-4.78127
266666,24.1826,-0.200989,-6.16994
266666,12.3403,3.11134,-1.25718
300000,9.15455,2.71437,-4.49259
300000,23.2562,-0.151889,-5.89624
300000,11.5776,-3.12129,-0.984971
333333,8.65032,2.71818,-4.18106
333333,22.7049,-0.141636,-5.60049
333333,11.19,-3.10956,-0.690749
366666,8.74579,2.66309,-4.82948
366666,22.7528,-0.190033,-6.26552
366666,11.4015,3.12674,-1.35735
400000,8.80121,2.68884,-4.37736
400000,22.76,-0.157337,-5.8309
400000,11.5724,-3.12222,-0.924332
433333,8.79541,2.59178,-4.76887
433333,22.7055,-0.247188,-6.24086
433333,11.6813,3.07267,-1.33594
466666,8.30619,2.62815,-3.88171
466666,22.1669,-0.203341,-5.37316
466666,11.3062,3.11811,-0.469941
500000,8.06295,2.64003,-4.48898
500000,21.8736,-0.18368,-5.98634
500000,11.1763,3.13938,-1.15138
533333,8.03136,2.65696,-4.37387
533333,21.7917,-0.158643,-5.87854
533333,11.2556,-3.11718,-1.11151
566666,7.86617,2.63408,-4.11248
566666,21.576,-0.173047,-5.62597
566666,11.1987,-3.13002,-0.926395
600000,8.27062,2.62249,-4.59328
600000,21.9296,-0.175783,-6.11719
600000,11.7089,-3.13124,-1.48445
633333,7.81839,2.65483,-4.64215
633333,21.4261,-0.134199,-6.17822
633333,11.3599,-3.0882,-1.6115
666666,8.30548,2.61284,-4.18501
666666,21.8615,-0.166511,-5.73512
666666,11.9475,-3.11912,-1.2334
700000,7.45971,2.6271,-4.06411
700000,20.9636,-0.142131,-5.63029
700000,11.1996,-3.09343,-1.19231
733333,7.07598,2.5688,-4.49512
733333,20.5271,-0.189837,-6.07956
733333,10.911,-3.13992,-1.70379
766666,7.22686,2.56296,-4.36888
766666,20.6246,-0.184576,-5.97395
766666,11.1543,-3.13355,-1.65856
800000,7.01065,2.5783,-4.35305
800000,20.3543,-0.157615,-5.98129
800000,11.0278,-3.10561,-1.72414
833333,7.32252,2.52486,-4.09178
833333,20.6112,-0.198859,-5.74598
833333,11.4266,3.13717,-1.54453
866666,6.57593,2.49047,-4.34701
866666,19.8088,-0.220455,-6.03017
866666,10.7642,3.11626,-1.88148
900000,6.90988,2.47949,-3.74964
900000,20.0859,-0.218018,-5.465
900000,11.1796,3.11919,-1.3657
933333,6.68814,2.49394,-4.55843
933333,19.8062,-0.189479,-6.3095
933333,11.0365,-3.13515,-2.25574
966666,6.80409,2.44524,-4.35504
966666,19.8629,-0.223375,-6.14564
966666,11.2283,3.11423,-2.13303
1000000,6.45264,2.40893,-3.53527
1000000,19.4508,-0.244136,-5.36952
1000000,10.95,3.09331,-1.43525
1033333,6.17056,2.41401,-3.75842
1033333,19.1066,-0.222709,-5.6408
1033333,10.7369,3.11451,-1.7847
1066666,5.81127,2.39594,-3.84293
1066666,18.6835,-0.223594,-5.77827
1066666,10.4423,3.11331,-2.00015
1100000,6.20411,2.39253,-4.13123
1100000,19.0107,-0.208929,-6.12477
1100000,10.8954,3.12757,-2.42444
1133333,5.60646,2.35155,-3.59604
1133333,18.3453,-0.230891,-5.65344
1133333,10.3534,3.10512,-2.03067
1166666,5.60083,2.34867,-3.98124
1166666,18.2698,-0.213771,-6.10862
1166666,10.3986,3.12166,-2.56318
1200000,4.86005,2.33683,-3.85349
1200000,17.4566,-0.20457,-6.05744
1200000,9.70359,3.13018,-2.58908
1233333,5.36907,2.36281,-3.09664
1233333,17.8906,-0.156464,-5.38426
1233333,10.2532,-3.10567,-1.99269
1266666,5.99945,2.25399,-3.03876
1266666,18.4431,-0.242007,-5.41767
1266666,10.9187,3.09109,-2.1026
1300000,4.55959,2.18993,-3.0321
1300000,16.9221,-0.281596,-5.51046
1300000,9.50824,3.05051,-2.27157
1333333,5.4432,2.18004,-3.52929
1333333,17.7211,-0.265773,-6.11581
1333333,10.4153,3.06523,-2.95275
1366666,4.92293,2.21612,-2.99232
1366666,17.1126,-0.202696,-5.69625
1366666,9.91213,3.12709,-2.60864
1400000,5.09437,2.16034,-3.03468
1400000,17.1916,-0.230157,-5.86581
1400000,10.0941,3.09828,-2.85324
1433333,4.99914,2.08545,-3.02364
1433333,16.9996,-0.275357,-5.99225
1433333,10.0026,3.05161,-3.05428
1466666,4.31602,2.0931,-2.46631
1466666,16.215,-0.236647,-5.58315
1466666,9.31587,3.0887,-2.71929
1500000,4.88445,2.06254,-3.2748
1500000,16.6767,-0.234748,-6.55098
1500000,9.87315,3.08884,-3.76072
1533333,3.771,2.01652,-1.93766
1533333,15.4511,-0.24691,-5.3846
1533333,8.7406,3.07477,-2.66736
1566666,4.58155,1.93734,-2.26446
1566666,16.1437,-0.290865,-5.89373
1566666,9.52375,3.02874,-3.24891
1600000,4.05939,1.98848,-1.93923
1600000,15.4972,-0.203153,-5.7624
1600000,8.96553,3.11421,-3.18933
1633333,4.21262,1.87554,-2.08382
1633333,15.5195,-0.278232,-6.11232
1633333,9.07367,3.03671,-3.61028
1666666,4.61934,1.85255,-1.77702
1666666,15.7883,-0.262163,-6.02188
1666666,9.42593,3.05017,-3.59008
1700000,4.10747,1.83917,-1.53864
1700000,15.1311,-0.235372,-6.01031
1700000,8.84988,3.07414,-3.64788
1733333,4.46358,1.73879,-1.07041
1733333,15.3342,-0.294594,-5.77852
1733333,9.1318,3.01189,-3.48453
1766666,4.04951,1.7305,-0.760177
1766666,14.7591,-0.260903,-5.71325
1766666,8.63326,3.04231,-3.48669
1800000,3.61947,1.71047,-0.688952
1800000,14.1597,-0.238298,-5.89425
1800000,8.10824,3.06141,-3.734
1833333,3.84834,1.65238,-0.267577
1833333,14.2108,-0.253269,-5.73085
1833333,8.23143,3.04267,-3.63569
1866666,3.7713,1.62145,-0.598832
1866666,13.9473,-0.240814,-6.32416
1866666,8.03792,3.05108,-4.29277
1900000,3.70846,1.47556,-0.0546124
1900000,13.6892,-0.343264,-6.0443
1900000,7.84772,2.94429,-4.07521
1933333,4.07913,1.53079,0.793275
1933333,13.8558,-0.244754,-5.46123
1933333,8.08016,3.03814,-3.55284
1966666,4.31007,1.46215,1.05858
1966666,13.8739,-0.270505,-5.45936
1966666,8.16208,3.00739,-3.6099
2000000,3.5419,1.35288,1.19684
2000000,12.8842,-0.337468,-5.58137
2000000,7.23423,2.93506,-3.78891
2033333,3.81528,1.33064,1.32397
2033333,12.9274,-0.318184,-5.70967
2033333,7.33747,2.94859,-3.97208
2066666,4.01384,1.27019,1.52412
2066666,12.8874,-0.338091,-5.75862
2066666,7.35569,2.9225,-4.07356
2100000,3.96003,1.21084,1.95131
2100000,12.5869,-0.35803,-5.57289
2100000,7.11166,2.89593,-3.93776
2133333,4.09531,1.22435,1.9541
2133333,12.4675,-0.306382,-5.80283
2133333,7.0472,2.94045,-4.21476
2166666,3.96993,1.13529,2.01318
2166666,12.0799,-0.358693,-5.96689
2166666,6.71296,2.88049,-4.42271
2200000,4.30321,1.13782,2.27024
2200000,12.1437,-0.320905,-5.81211
2200000,6.8287,2.91006,-4.3083
2233333,4.51935,1.0812,2.4859
2233333,12.0872,-0.343548,-5.69127
2233333,6.82275,2.87859,-4.22394
2266666,4.87081,1.04857,2.80041
2266666,12.1628,-0.343472,-5.46433
2266666,6.94793,2.86917,-4.02914
2300000,4.58864,1.03273,2.32418
2300000,11.6021,-0.327865,-6.02106
2300000,6.4357,2.87457,-4.6132
2333333,4.58757,1.01922,2.96359
2333333,11.32,-0.311167,-5.45529
2333333,6.20119,2.88029,-4.06941
2366666,4.74306,0.945121,2.75578
2366666,11.192,-0.356281,-5.73015
2366666,6.12024,2.82335,-4.36027
2400000,4.41056,0.959236,3.42301
2400000,10.574,-0.314379,-5.1236
2400000,5.54875,2.85252,-3.76306
2433333,4.89085,0.86312,3.15139
2433333,10.7668,-0.383883,-5.44977
2433333,5.78794,2.76931,-4.09115
2466666,4.6878,0.769889,3.62547
2466666,10.2746,-0.451651,-5.02435
2466666,5.34213,2.68677,-3.65936
2500000,5.69742,0.758379,3.72444
2500000,10.9936,-0.438822,-4.96836
2500000,6.10782,2.68368,-3.58776
2533333,5.39578,0.785038,2.81491
2533333,10.4,-0.388925,-5.91541
2533333,5.56159,2.71643,-4.50889
2566666,5.21151,0.748106,3.01748
2566666,9.92254,-0.403695,-5.7451
2566666,5.13261,2.68317,-4.30116
2600000,5.73789,0.732966,3.65289
2600000,10.1548,-0.397729,-5.13688
2600000,5.41471,2.66921,-3.64273
2633333,5.80632,0.648975,3.9
2633333,9.92829,-0.461648,-4.91204
2633333,5.23994,2.58382,-3.35345
2666666,5.63017,0.697535,2.4491
2666666,9.45654,-0.394032,-6.38046
2666666,4.8223,2.62833,-4.74168
2700000,6.02269,0.626772,3.51272
2700000,9.55296,-0.446738,-5.32972
2700000,4.97577,2.55076,-3.59336
2733333,6.1981,0.62769,3.05578
2733333,9.43193,-0.428748,-5.795
2733333,4.91529,2.54203,-3.94196
2766666,5.86124,0.60274,4.32627
2766666,8.79844,-0.4376,-4.52842
2766666,4.34655,2.50453,-2.53782
2800000,6.85331,0.567125,4.29179
2800000,9.49382,-0.458081,-4.56245
2800000,5.1116,2.45337,-2.41167
2833333,6.51202,0.55087,3.48935
2833333,8.85594,-0.460159,-5.36011
2833333,4.54906,2.41854,-3.02488
2866666,6.93736,0.513369,3.32625
2866666,8.98493,-0.484436,-5.51414
2866666,4.75992,2.35941,-2.96872
2900000,6.49618,0.439445,3.56909
2900000,8.24777,-0.546088,-5.25794
2900000,4.11202,2.2608,-2.47543
2933333,6.51697,0.414355,3.25245
2933333,7.97309,-0.559859,-5.55692
2933333,3.93491,2.20805,-2.50971
2966666,6.57765,0.404466,3.4951
2966666,7.73898,-0.559388,-5.29226
2966666,3.80757,2.16763,-1.95265
3000000,6.9664,0.444698,3.03092
3000000,7.83375,-0.509761,-5.73001
3000000,4.01925,2.17462,-2.07096
3033333,7.05543,0.377133,4.38136
3033333,7.62975,-0.568908,-4.34865
3033333,3.94315,2.07136,-0.344655
3066666,7.32608,0.369416,3.29666
3066666,7.60849,-0.569197,-5.39783
3066666,4.06161,2.02579,-1.02591
3100000,7.39534,0.39692,4.13045
3100000,7.3871,-0.535272,-4.52375
3100000,3.99245,2.01368,0.235583
3133333,7.81068,0.32162,3.52996
3133333,7.51321,-0.60518,-5.07903
3133333,4.28389,1.89743,0.0827882
3166666,7.73864,0.356641,3.87384
3166666,7.15354,-0.565819,-4.68483
3166666,4.10306,1.89063,0.889412
3200000,7.80809,0.307865,3.8835
3200000,6.93713,-0.611334,-4.61949
3200000,4.07924,1.79967,0.425705
3233333,8.33693,0.294533,4.0558
3233333,7.18205,-0.622514,-4.38591
3233333,4.49907,1.74384,0.125449
3266666,7.1377,0.234179,3.81533
3266666,5.70105,-0.68186,-4.5592
3266666,3.17511,1.64069,-0.584963
3300000,8.67041,0.229312,3.98739
3300000,6.95431,-0.6869,-4.49027
3300000,4.56739,1.59275,-0.126109
3333333,8.62524,0.234415,4.2316
3333333,6.62647,-0.683791,-4.33452
3333333,4.39169,1.55302,0.430415
3366666,8.43878,0.210071,3.33558
3366666,6.15459,-0.712,-5.30404
3366666,4.08534,1.4826,-0.133384
3400000,8.43399,0.200973,4.32143
3400000,5.86213,-0.726886,-4.37642
3400000,3.97185,1.42669,1.19855
3433333,8.29235,0.165714,4.67174
3433333,5.43109,-0.769904,-4.06882
3433333,3.73309,1.34439,1.90267
3466666,8.8207,0.212534,4.49555
3466666,5.66883,-0.732862,-4.2719
3466666,4.17605,1.34444,2.08218
3500000,8.97753,0.135498,4.64164
3500000,5.53437,-0.82174,-4.13658
3500000,4.25917,1.22134,2.58057
3533333,8.93496,0.131032,4.70794
3533333,5.20038,-0.840153,-4.06465
3533333,4.15441,1.17191,2.99131
3566666,9.88882,0.093777,4.57634
3566666,5.86323,-0.893501,-4.17389
3566666,5.05727,1.09108,3.19274
3600000,8.93037,0.079947,5.62182
3600000,4.61475,-0.925606,-3.08901
3600000,4.05859,1.03531,4.55726
3633333,9.47406,0.0811962,5.38654
3633333,4.86996,-0.944846,-3.26754
3633333,4.57233,0.99642,4.62533
3666666,9.86532,0.0872084,5.55419
3666666,4.97488,-0.961561,-3.02549
3666666,4.94338,0.964187,5.07977
3700000,9.83527,-0.00756779,5.14375
3700000,4.66122,-1.08132,-3.34364
3700000,4.90231,0.833104,4.93933
3733333,10.1208,0.0631129,5.10805
3733333,4.66646,-1.03788,-3.26895
3733333,5.18544,0.869413,5.15716
3766666,9.94356,0.0139834,5.40867
3766666,4.21288,-1.1165,-2.83975
3766666,5.01392,0.787808,5.69549
3800000,10.4566,0.031745,5.23979
3800000,4.45407,-1.13045,-2.86187
3800000,5.54023,0.774924,5.74943
3833333,10.9429,0.046434,5.74979
3833333,4.6738,-1.14966,-2.1871
3833333,6.04704,0.760713,6.46849
3866666,10.6816,0.0150745,5.29343
3866666,4.15153,-1.21702,-2.46105
3866666,5.81279,0.702102,6.20856
3900000,10.8881,0.0120217,5.7326
3900000,4.10342,-1.2581,-1.82244
3900000,6.05267,0.673342,6.83273
3933333,10.9746,0.00517313,6.25843
3933333,3.94217,-1.30488,-1.08098
3933333,6.17846,0.642225,7.5333
3966666,11.5335,0.012401,5.2705
3966666,4.26082,-1.33933,-1.83823
3966666,6.78236,0.626519,6.71094
4000000,11.7202,0.0280282,5.98614
4000000,4.21504,-1.36696,-0.858678
4000000,7.01926,0.620443,7.584
4033333,12.3383,0.036284,5.48494
4033333,4.6095,-1.40252,-1.09827
4033333,7.69267,0.608128,7.23306
4066666,12.2692,-0.0107142,5.38813
4066666,4.32539,-1.49364,-0.938056
4066666,7.68367,0.541599,7.2802
4100000,11.8002,-0.00576111,5.94061
4100000,3.64998,-1.53286,-0.135313
4100000,7.27953,0.527975,7.97111
4133333,12.3044,0.0463089,5.72557
4133333,3.95591,-1.52477,-0.108782
4133333,7.85296,0.562339,7.88969
4166666,12.4635,0.021156,5.81449
4166666,3.92476,-1.59349,0.211306
4166666,8.08572,0.520278,8.10805
4200000,12.2278,0.0151633,5.83295
4200000,3.50624,-1.64243,0.449107
4200000,7.92778,0.498105,8.25233
4233333,12.4808,0.0123899,6.04498
4233333,3.58362,-1.68735,0.867578
4233333,8.26268,0.479816,8.58707
4266666,13.5199,-0.0014935,5.59156
4266666,4.45379,-1.74243,0.606904
4266666,9.38769,0.451024,8.25368
4300000,13.0866,-0.0677346,6.05117
4300000,3.8578,-1.84878,1.24511
4300000,9.04423,0.370428,8.83104
4333333,13.584,-0.0293842,5.84128
4333333,4.19813,-1.84937,1.19946
4333333,9.6352,0.39493,8.73695
4366666,13.6209,-0.0257837,5.8566
4366666,4.08337,-1.88345,1.36473
4366666,9.76961,0.385144,8.86644
4400000,14.0401,-0.0722614,5.37146
4400000,4.35566,-1.96632,1.08107
4400000,10.29,0.325701,8.55965
4433333,14.4243,-0.0567093,5.66402
4433333,4.59936,-1.98555,1.55936
4433333,10.7812,0.328944,9.02727
4466666,14.3576,0.0329639,5.33045
4466666,4.3983,-1.92908,1.39643
4466666,10.8274,0.406919,8.86576
4500000,14.2475,-0.0144858,6.18013
4500000,4.15919,-2.00815,2.4024
4500000,10.8358,0.348341,9.82264
4533333,14.7924,0.00388165,5.23463
4533333,4.58022,-2.01985,1.59962
4533333,11.5028,0.356182,8.98109
4566666,14.6009,0.0102965,5.13893
4566666,4.2694,-2.04199,1.63392
4566666,11.4368,0.352628,8.98642
4600000,14.983,-0.0172412,5.26146
4600000,4.53634,-2.09663,1.87458
4600000,11.9476,0.315636,9.20736
4633333,15.1948,-0.0312135,5.52115
4633333,4.63677,-2.13629,2.24133
4633333,12.2914,0.292687,9.56308
4666666,15.5489,-0.0461087,5.43207
4666666,4.8829,-2.17551,2.24906
4666666,12.7807,0.269259,9.56788
4700000,15.9193,0.0115782,4.70749
4700000,5.1485,-2.14086,1.61181
4700000,13.2894,0.318827,8.93522
4733333,15.7374,0.0296064,5.62962
4733333,4.86457,-2.14462,2.61254
4733333,13.2488,0.32912,9.9475
4766666,16.1205,-0.00392091,5.34856
4766666,5.14811,-2.19875,2.40205
4766666,13.7762,0.288217,9.75498
4800000,15.9787,-0.0098281,4.91965
4800000,4.90906,-2.22413,2.03631
4800000,13.7816,0.275269,9.41313
4833333,16.2364,-0.032548,5.1682
4833333,5.07152,-2.26526,2.34124
4833333,14.1895,0.245822,9.74739
4866666,16.254,-0.0113709,4.9032
4866666,4.9957,-2.26147,2.12641
4866666,14.36,0.260566,9.56688
4900000,16.058,-0.00923058,4.71099
4900000,4.70782,-2.27576,1.97865
4900000,14.3197,0.256548,9.45802
4933333,16.4544,0.039094,4.52449
4933333,5.01378,-2.24294,1.83138
4933333,14.8746,0.298972,9.35383
4966666,16.521,0.00929824,5.04622
4966666,4.9912,-2.28737,2.38756
4966666,15.1025,0.26352,9.95692
5000000,17.0189,-0.0107957,5.0475
5000000,5.40097,-2.32128,2.41891
5000000,15.7643,0.237997,10.0387
5033333,17.6143,0.0188043,5.11369
